NWFSC_POP_ID,length_km,ESAPOPNAME,Species,Comment
32,5.284975194,"Salmon, Chinook (Lower Columbia River ESU) White Salmon River - spring","Salmon, Chinook ",Missing habitat above Condit Dam
31,5.284975194,"Salmon, Chinook (Lower Columbia River ESU) White Salmon River - fall","Salmon, Chinook ",Missing habitat above Condit Dam
16,9.07084277,"Salmon, Chinook (Lower Columbia River ESU) Lower Gorge Tributaries - fall","Salmon, Chinook ",Missing Mainstem Columbia Habitat
29,13.33608462,"Salmon, Chinook (Lower Columbia River ESU) Upper Gorge Tributaries - fall","Salmon, Chinook ",
11,17.21103152,"Salmon, Chinook (Lower Columbia River ESU) Kalama River - fall","Salmon, Chinook ",
30,45.20275674,"Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","Salmon, Chinook ",
7,59.99395106,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Salmon, Chinook ",
6,60.1260986,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Salmon, Chinook ",
19,63.97760112,"Salmon, Chinook (Lower Columbia River ESU) Salmon Creek - fall","Salmon, Chinook ",
3,73.73684868,"Salmon, Chinook (Lower Columbia River ESU) Cispus River - spring","Salmon, Chinook ",
12,78.65097779,"Salmon, Chinook (Lower Columbia River ESU) Kalama River - spring","Salmon, Chinook ",
18,78.80039696,"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","Salmon, Chinook ",Missing above Swift Dam
17,79.11177743,"Salmon, Chinook (Lower Columbia River ESU) Mill, Abernathy, and Germany Creeks - fall","Salmon, Chinook ",
8,103.099622,"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall","Salmon, Chinook ",
28,115.2511499,"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring","Salmon, Chinook ",
14,115.9375023,"Salmon, Chinook (Lower Columbia River ESU) Lewis River - fall","Salmon, Chinook ",Need to split into tule/bright
26,147.6137788,"Salmon, Chinook (Lower Columbia River ESU) Toutle River - spring","Salmon, Chinook ",How much is spring v. fall; also extirpated
25,157.6208894,"Salmon, Chinook (Lower Columbia River ESU) Toutle River - fall","Salmon, Chinook ",
27,196.6576139,"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - fall","Salmon, Chinook ",Shouldn't include Upper Cowlitz/Cispus currently
15,221.3018452,"Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","Salmon, Chinook ",
116,8.245872515,"Salmon, chum (Columbia River ESU) Kalama River - fall","Salmon, chum ",
119,10.66159611,"Salmon, chum (Columbia River ESU) Mill, Abernathy, and Germany Creeks - fall","Salmon, chum ",
124,22.26495235,"Salmon, chum (Columbia River ESU) Washougal River - fall","Salmon, chum ",
120,30.45334751,"Salmon, chum (Columbia River ESU) Salmon Creek - fall","Salmon, chum ",
118,36.0760535,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","Salmon, chum ",Missing Mainstem Columbia Habitat
114,54.63929168,"Salmon, chum (Columbia River ESU) Elochoman River - fall","Salmon, chum ",
115,62.22074287,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","Salmon, chum ",
117,111.7196293,"Salmon, chum (Columbia River ESU) Lewis River - fall","Salmon, chum ",
113,366.7246153,"Salmon, chum (Columbia River ESU) Cowlitz River - fall","Salmon, chum ",
143,0.051521146,"Salmon, coho (Lower Columbia River ESU) Oregon Upper Gorge Tributaries and Hood River - early","Salmon, coho ",
136,39.05696879,"Salmon, coho (Lower Columbia River ESU) Kalama River - late","Salmon, coho ",
138,83.75143543,"Salmon, coho (Lower Columbia River ESU) Lower Gorge Tributaries - late","Salmon, coho ",
151,86.77293668,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","Salmon, coho ",
147,91.50591295,"Salmon, coho (Lower Columbia River ESU) South Fork Toutle River - early and late","Salmon, coho ",
150,99.01441477,"Salmon, coho (Lower Columbia River ESU) Washington Upper Gorge Tributaries and White Salmon River - late","Salmon, coho ",
129,106.9756113,"Salmon, coho (Lower Columbia River ESU) Cispus River - early and late","Salmon, coho ",
132,112.8800983,"Salmon, coho (Lower Columbia River ESU) Coweeman River - late","Salmon, coho ",
148,117.1294478,"Salmon, coho (Lower Columbia River ESU) Tilton River - early and late","Salmon, coho ",
140,125.9773773,"Salmon, coho (Lower Columbia River ESU) Mill, Abernathy, and Germany Creeks - late","Salmon, coho ",
141,153.6489238,"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","Salmon, coho ",Missing Habitat Above Swift Dam
133,189.7322553,"Salmon, coho (Lower Columbia River ESU) East Fork Lewis River - early and late","Salmon, coho ",
134,199.4248354,"Salmon, coho (Lower Columbia River ESU) Elochoman River - late","Salmon, coho ",
144,211.3434524,"Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","Salmon, coho ",
135,284.4825192,"Salmon, coho (Lower Columbia River ESU) Grays and Chinook Rivers - late","Salmon, coho ",
142,287.3710152,"Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","Salmon, coho ",
149,348.1884683,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","Salmon, coho ",
137,716.9446561,"Salmon, coho (Lower Columbia River ESU) Lower Cowlitz River - late","Salmon, coho ",
236,5.344058532,Steelhead (Lower Columbia River DPS) North Fork Lewis River - summer,Steelhead ,
244,19.81467547,Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter,Steelhead ,
233,20.26827637,Steelhead (Lower Columbia River DPS) Kalama River - winter,Steelhead ,
235,48.41725185,Steelhead (Lower Columbia River DPS) Lower Gorge Tributaries - winter,Steelhead ,
245,59.1344914,Steelhead (Lower Columbia River DPS) Washougal River - summer,Steelhead ,
228,71.80038333,Steelhead (Lower Columbia River DPS) East Fork Lewis River - summer,Steelhead ,
227,86.19377742,Steelhead (Lower Columbia River DPS) Coweeman River - winter,Steelhead ,
246,89.22288857,Steelhead (Lower Columbia River DPS) Washougal River - winter,Steelhead ,
9993,90.39100018,Steelhead (Southwest Washington DPS) Mill Creek - winter,Steelhead ,
241,91.95056016,Steelhead (Lower Columbia River DPS) South Fork Toutle River - winter,Steelhead ,
237,93.97669113,Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter,Steelhead ,Missing Habitat Above Swift Dam
225,98.37964929,Steelhead (Lower Columbia River DPS) Cispus River - winter,Steelhead ,
242,100.2751735,Steelhead (Lower Columbia River DPS) Tilton River - winter,Steelhead ,
239,107.7627643,Steelhead (Lower Columbia River DPS) Salmon Creek - winter,Steelhead ,
229,113.0326373,Steelhead (Lower Columbia River DPS) East Fork Lewis River - winter,Steelhead ,
232,115.0344078,Steelhead (Lower Columbia River DPS) Kalama River - summer,Steelhead ,
247,123.0658051,Steelhead (Lower Columbia River DPS) Wind River - summer,Steelhead ,
9992,126.6406011,Steelhead (Southwest Washington DPS) Elochoman River - winter,Steelhead ,
9991,145.0616201,Steelhead (Southwest Washington DPS) Grays and Chinook Rivers - winter,Steelhead ,
238,207.4749547,Steelhead (Lower Columbia River DPS) North Fork Toutle River - winter,Steelhead ,
234,293.4997154,Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter,Steelhead ,
243,335.7793596,Steelhead (Lower Columbia River DPS) Upper Cowlitz River - winter,Steelhead ,Includes Riffe and Mayfield Lakes (shouldn't)
